road,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,Delay,delay ratio,Traffic level,Day,Hour,minute,latitude,longitude
20.0,3.0,16,19,275,232,0.647983,43,0.1853448275862069,2,30,23,8,19.045,73.015
19.0,3.0,13,19,1154,789,0.937142,365,0.46261089987325726,2,30,23,8,19.06,72.885
19.0,3.0,30,30,462,462,1.0,0,0.0,1,30,23,8,18.98,73.11
14.0,3.0,6,11,6,3,1.0,3,1.0,0,30,23,8,19.2183,72.9781
14.0,3.0,20,20,154,154,1.0,0,0.0,1,30,23,8,20.011,73.79
11.0,2.0,30,30,2467,2467,1.0,0,0.0,1,30,23,8,19.41,73.18
11.0,3.0,61,61,1109,1109,1.0,0,0.0,1,30,23,8,19.43,73.48
17.0,0.0,42,51,889,732,0.995196,157,0.21448087431693988,2,30,23,8,19.32,73.1
17.0,4.0,26,26,2320,2320,1.0,0,0.0,1,30,23,8,19.3,73.13
10.0,0.0,29,29,1379,1379,1.0,0,0.0,1,30,23,8,19.22,73.0
16.0,1.0,22,27,2808,2288,0.982105,520,0.22727272727272727,2,30,23,8,19.24,73.13
16.0,3.0,15,18,1158,965,0.905392,193,0.2,2,30,23,8,19.22,73.1
12.0,3.0,34,34,995,995,1.0,0,0.0,1,30,23,8,18.65,72.87
12.0,3.0,13,19,825,564,0.620588,261,0.4627659574468085,2,30,23,8,19.42,72.84
13.0,3.0,6,11,6,3,1.0,3,1.0,0,30,23,8,19.2183,72.9781
13.0,3.0,20,20,154,154,1.0,0,0.0,1,30,23,8,20.011,73.79
8.0,0.0,33,40,1085,895,1.0,190,0.2122905027932961,2,30,23,8,19.25,73.05
8.0,3.0,23,23,190,190,1.0,0,0.0,1,30,23,8,19.25,72.98
6.0,3.0,15,15,848,848,1.0,0,0.0,1,30,23,8,19.23,73.08
6.0,3.0,15,15,428,428,1.0,0,0.0,1,30,23,8,19.25,73.01
5.0,3.0,25,25,1518,1518,1.0,0,0.0,1,30,23,8,19.22,73.05
5.0,3.0,16,16,928,928,1.0,0,0.0,1,30,23,8,19.3,73.08
3.0,3.0,14,16,963,843,0.787913,120,0.1423487544483986,1,30,23,8,19.22,73.07
3.0,3.0,24,24,1302,1302,1.0,0,0.0,1,30,23,8,19.24,73.1
1.0,0.0,33,40,1085,895,1.0,190,0.2122905027932961,2,30,23,8,19.25,73.05
1.0,3.0,15,15,428,428,1.0,0,0.0,1,30,23,8,19.25,73.01
0.0,3.0,28,31,559,504,1.0,55,0.10912698412698413,1,30,23,8,19.18,72.98
0.0,2.0,26,26,227,227,1.0,0,0.0,1,30,23,8,19.22,72.95
7.0,3.0,25,25,1518,1518,1.0,0,0.0,1,30,23,8,19.21,73.06
7.0,1.0,36,36,1986,1986,1.0,0,0.0,1,30,23,8,19.04,73.24
15.0,3.0,19,19,1471,1471,1.0,0,0.0,1,30,23,8,19.25,73.03
15.0,0.0,26,31,1610,1350,0.997326,260,0.1925925925925926,2,30,23,8,19.24,73.01
2.0,3.0,15,15,848,848,1.0,0,0.0,1,30,23,8,19.23,73.08
2.0,3.0,14,16,963,843,0.787913,120,0.1423487544483986,1,30,23,8,19.22,73.07
18.0,0.0,34,40,1053,895,1.0,158,0.17653631284916202,2,30,23,14,19.25,73.05
18.0,3.0,23,23,190,190,1.0,0,0.0,1,30,23,14,19.25,72.98
4.0,3.0,5,11,7,3,1.0,4,1.3333333333333333,0,30,23,14,19.2183,72.9781
4.0,3.0,19,19,148,148,1.0,0,0.0,1,30,23,14,19.076,72.8777
9.0,3.0,14,20,343,240,0.973477,103,0.42916666666666664,2,30,23,14,19.196,72.96
9.0,1.0,54,54,126,126,1.0,0,0.0,1,30,23,14,19.05,72.87
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,30,23,14,19.18,73.01
20.0,3.0,20,20,220,220,1.0,0,0.0,1,30,23,14,19.045,73.015
19.0,3.0,15,19,1000,789,0.929478,211,0.2674271229404309,2,30,23,14,19.06,72.885
19.0,3.0,30,30,462,462,1.0,0,0.0,1,30,23,14,18.98,73.11
14.0,3.0,5,11,7,3,1.0,4,1.3333333333333333,0,30,23,14,19.2183,72.9781
14.0,3.0,20,20,154,154,1.0,0,0.0,1,30,23,14,20.011,73.79
11.0,2.0,30,30,2467,2467,1.0,0,0.0,1,30,23,14,19.41,73.18
11.0,3.0,61,61,1109,1109,1.0,0,0.0,1,30,23,14,19.43,73.48
17.0,0.0,42,52,889,718,0.996234,171,0.2381615598885794,2,30,23,14,19.32,73.1
17.0,4.0,26,26,2320,2320,1.0,0,0.0,1,30,23,14,19.3,73.13
10.0,0.0,29,29,1379,1379,1.0,0,0.0,1,30,23,14,19.22,73.0
16.0,1.0,23,27,2686,2288,0.977096,398,0.17395104895104896,2,30,23,14,19.24,73.13
16.0,3.0,19,19,914,914,1.0,0,0.0,1,30,23,14,19.22,73.1
12.0,3.0,34,34,995,995,1.0,0,0.0,1,30,23,14,18.65,72.87
12.0,3.0,12,18,894,596,0.717067,298,0.5,2,30,23,14,19.42,72.84
13.0,3.0,5,11,7,3,1.0,4,1.3333333333333333,0,30,23,14,19.2183,72.9781
13.0,3.0,20,20,154,154,1.0,0,0.0,1,30,23,14,20.011,73.79
8.0,0.0,34,40,1053,895,1.0,158,0.17653631284916202,2,30,23,14,19.25,73.05
8.0,3.0,23,23,190,190,1.0,0,0.0,1,30,23,14,19.25,72.98
6.0,3.0,15,15,848,848,1.0,0,0.0,1,30,23,14,19.23,73.08
6.0,3.0,15,15,428,428,1.0,0,0.0,1,30,23,14,19.25,73.01
5.0,3.0,21,25,1807,1518,0.727562,289,0.1903820816864295,2,30,23,14,19.22,73.05
5.0,3.0,16,16,928,928,1.0,0,0.0,1,30,23,14,19.3,73.08
3.0,3.0,17,17,793,793,1.0,0,0.0,1,30,23,14,19.22,73.07
3.0,3.0,24,24,1302,1302,1.0,0,0.0,1,30,23,14,19.24,73.1
1.0,0.0,34,40,1053,895,1.0,158,0.17653631284916202,2,30,23,14,19.25,73.05
1.0,3.0,15,15,428,428,1.0,0,0.0,1,30,23,14,19.25,73.01
0.0,3.0,25,31,626,504,1.0,122,0.24206349206349206,2,30,23,14,19.18,72.98
0.0,2.0,26,26,227,227,1.0,0,0.0,1,30,23,14,19.22,72.95
7.0,3.0,21,25,1807,1518,0.727562,289,0.1903820816864295,2,30,23,14,19.21,73.06
7.0,1.0,36,36,1986,1986,1.0,0,0.0,1,30,23,14,19.04,73.24
15.0,3.0,19,19,1471,1471,1.0,0,0.0,1,30,23,14,19.25,73.03
15.0,0.0,26,31,1610,1350,0.996383,260,0.1925925925925926,2,30,23,14,19.24,73.01
2.0,3.0,15,15,848,848,1.0,0,0.0,1,30,23,14,19.23,73.08
2.0,3.0,17,17,793,793,1.0,0,0.0,1,30,23,14,19.22,73.07
18.0,0.0,32,40,1119,895,1.0,224,0.25027932960893856,2,30,23,22,19.25,73.05
18.0,3.0,23,23,190,190,1.0,0,0.0,1,30,23,22,19.25,72.98
4.0,3.0,8,10,4,3,1.0,1,0.3333333333333333,2,30,23,22,19.2183,72.9781
4.0,3.0,19,19,148,148,1.0,0,0.0,1,30,23,22,19.076,72.8777
9.0,3.0,14,20,343,240,0.968349,103,0.42916666666666664,2,30,23,22,19.196,72.96
9.0,1.0,54,54,126,126,1.0,0,0.0,1,30,23,22,19.05,72.87
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,30,23,22,19.18,73.01
20.0,3.0,20,20,220,220,1.0,0,0.0,1,30,23,22,19.045,73.015
19.0,3.0,14,18,1072,833,0.950593,239,0.28691476590636256,2,30,23,22,19.06,72.885
19.0,3.0,25,29,555,478,0.976462,77,0.16108786610878661,2,30,23,22,18.98,73.11
14.0,3.0,8,10,4,3,1.0,1,0.3333333333333333,2,30,23,22,19.2183,72.9781
14.0,3.0,20,20,154,154,1.0,0,0.0,1,30,23,22,20.011,73.79
11.0,2.0,30,30,2467,2467,1.0,0,0.0,1,30,23,22,19.41,73.18
11.0,3.0,61,61,1109,1109,1.0,0,0.0,1,30,23,22,19.43,73.48
17.0,0.0,40,51,934,732,0.996468,202,0.27595628415300544,2,30,23,22,19.32,73.1
17.0,4.0,26,26,2320,2320,1.0,0,0.0,1,30,23,22,19.3,73.13
10.0,0.0,22,29,1818,1379,0.990154,439,0.31834662799129804,2,30,23,22,19.22,73.0
16.0,1.0,23,27,2686,2288,0.985504,398,0.17395104895104896,2,30,23,22,19.24,73.13
16.0,3.0,19,19,914,914,1.0,0,0.0,1,30,23,22,19.22,73.1
12.0,3.0,34,34,995,995,1.0,0,0.0,1,30,23,22,18.65,72.87
12.0,3.0,12,18,894,596,0.858301,298,0.5,2,30,23,22,19.42,72.84
13.0,3.0,8,10,4,3,1.0,1,0.3333333333333333,2,30,23,22,19.2183,72.9781
13.0,3.0,20,20,154,154,1.0,0,0.0,1,30,23,22,20.011,73.79
8.0,0.0,32,40,1119,895,1.0,224,0.25027932960893856,2,30,23,22,19.25,73.05
8.0,3.0,23,23,190,190,1.0,0,0.0,1,30,23,22,19.25,72.98
6.0,3.0,15,15,848,848,1.0,0,0.0,1,30,23,22,19.23,73.08
6.0,3.0,15,15,428,428,1.0,0,0.0,1,30,23,22,19.25,73.01
5.0,3.0,21,25,1807,1518,0.723692,289,0.1903820816864295,2,30,23,22,19.22,73.05
5.0,3.0,16,16,928,928,1.0,0,0.0,1,30,23,22,19.3,73.08
3.0,3.0,17,17,793,793,1.0,0,0.0,1,30,23,22,19.22,73.07
3.0,3.0,24,24,1302,1302,1.0,0,0.0,1,30,23,22,19.24,73.1
1.0,0.0,32,40,1119,895,1.0,224,0.25027932960893856,2,30,23,22,19.25,73.05
1.0,3.0,15,15,428,428,1.0,0,0.0,1,30,23,22,19.25,73.01
0.0,3.0,28,31,559,504,1.0,55,0.10912698412698413,1,30,23,22,19.18,72.98
0.0,2.0,26,26,227,227,1.0,0,0.0,1,30,23,22,19.22,72.95
7.0,3.0,21,25,1807,1518,0.723692,289,0.1903820816864295,2,30,23,22,19.21,73.06
7.0,1.0,36,36,1986,1986,1.0,0,0.0,1,30,23,22,19.04,73.24
15.0,3.0,19,19,1471,1471,1.0,0,0.0,1,30,23,22,19.25,73.03
15.0,0.0,25,30,1674,1395,0.998296,279,0.2,2,30,23,22,19.24,73.01
2.0,3.0,15,15,848,848,1.0,0,0.0,1,30,23,22,19.23,73.08
2.0,3.0,17,17,793,793,1.0,0,0.0,1,30,23,22,19.22,73.07
18.0,0.0,33,40,1085,895,1.0,190,0.2122905027932961,2,1,11,45,19.25,73.05
18.0,3.0,18,22,243,199,1.0,44,0.22110552763819097,2,1,11,45,19.25,72.98
4.0,3.0,3,11,12,3,1.0,9,3.0,0,1,11,45,19.2183,72.9781
4.0,3.0,19,19,148,148,1.0,0,0.0,1,1,11,45,19.076,72.8777
9.0,3.0,21,21,228,228,1.0,0,0.0,1,1,11,45,19.196,72.96
9.0,1.0,54,54,126,126,1.0,0,0.0,1,1,11,45,19.05,72.87
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,1,11,45,19.18,73.01
20.0,3.0,20,20,220,220,1.0,0,0.0,1,1,11,45,19.045,73.015
19.0,3.0,16,19,938,789,0.940344,149,0.1888466413181242,2,1,11,45,19.06,72.885
19.0,3.0,26,30,534,462,0.980749,72,0.15584415584415584,2,1,11,45,18.98,73.11
14.0,3.0,3,11,12,3,1.0,9,3.0,0,1,11,45,19.2183,72.9781
14.0,3.0,20,20,154,154,1.0,0,0.0,1,1,11,45,20.011,73.79
11.0,2.0,30,30,2467,2467,1.0,0,0.0,1,1,11,45,19.41,73.18
11.0,3.0,61,61,1109,1109,1.0,0,0.0,1,1,11,45,19.43,73.48
17.0,0.0,48,52,778,718,0.999381,60,0.08356545961002786,1,1,11,45,19.32,73.1
17.0,4.0,21,26,2873,2320,0.828749,553,0.23836206896551723,2,1,11,45,19.3,73.13
10.0,0.0,20,29,2000,1379,0.982644,621,0.4503263234227701,2,1,11,45,19.22,73.0
16.0,1.0,20,28,3089,2207,0.972182,882,0.39963751699139105,2,1,11,45,19.24,73.13
16.0,3.0,19,19,914,914,1.0,0,0.0,1,1,11,45,19.22,73.1
12.0,3.0,25,34,1353,995,0.853606,358,0.3597989949748744,2,1,11,45,18.65,72.87
